OrderID,ShipMode,OrderPriority,NumberOfProducts,TotalSales,TotalQuantity,TotalProfit,TotalShippingCost
AO-2013-6050,Standard Class,Medium,2,112.5,5,35.43,9.25
AO-2013-6140,Second Class,High,1,65.16,6,11.7,8.57
AO-2013-6910,First Class,Medium,1,848.4,4,322.32,91.0
AO-2013-7170,Standard Class,Medium,4,209.79000000000002,9,72.18,13.31
AO-2013-7370,Standard Class,Medium,1,8.79,1,3.33,0.95
AO-2013-9250,Standard Class,Medium,2,2947.5600000000004,20,812.0400000000001,156.32
AO-2014-1550,Second Class,High,1,48.0,1,15.84,7.85
AO-2014-190,Standard Class,Medium,2,196.35,2,55.5,15.4
AO-2014-2110,Second Class,High,2,144.48,10,45.0,22.7
AO-2014-2160,Standard Class,Medium,2,586.9799999999999,6,117.53999999999999,24.52
AO-2014-2270,Standard Class,Low,1,1877.16,4,525.6,95.8
AO-2014-2460,Standard Class,Medium,1,795.6,4,222.72,56.09
AO-2014-2730,Standard Class,Medium,2,51.93,2,14.79,2.29
AO-2014-4190,Standard Class,Medium,1,29.4,4,9.0,2.52
AO-2014-420,First Class,High,2,63.42,3,17.91,10.08
AO-2014-4830,Second Class,High,2,324.51,3,50.49,51.82
AO-2014-5290,Standard Class,Medium,2,333.65999999999997,2,159.80999999999997,24.9
AO-2014-5450,Standard Class,Medium,2,586.98,5,99.78,17.41
AO-2014-5560,Standard Class,High,2,56.91,5,19.53,6.949999999999999
AO-2014-620,Standard Class,Medium,2,61.02,3,23.52,6.42
AO-2014-650,Same Day,High,1,30.36,2,0.6,3.63
AO-2014-6780,Standard Class,Medium,2,103.26,3,46.68,7.57
AO-2014-6900,Standard Class,Medium,1,38.58,2,2.28,3.11
AO-2014-7730,Standard Class,High,1,126.72,6,20.16,11.5
AO-2014-7960,Second Class,Medium,3,937.77,6,350.31,73.95
AO-2014-8210,Standard Class,High,1,193.68,4,11.52,25.43
AO-2014-8250,Standard Class,Low,3,616.5,9,85.98,71.88
AO-2014-9370,Second Class,Medium,2,841.29,3,409.95000000000005,88.49
AU-2011-0,Same Day,Critical,1,922.95,1,341.49,282.09
AU-2011-3990,Standard Class,Medium,3,542.67,7,17.28,54.699999999999996
AU-2011-4210,Second Class,Medium,2,102.99,2,26.55,8.870000000000001
AU-2011-5790,Second Class,Medium,1,109.95,1,12.09,9.25
AU-2011-790,Standard Class,Medium,1,7.8,1,1.23,0.69
AU-2011-9050,Standard Class,Medium,2,59.58,2,16.29,5.84
AU-2012-1790,Standard Class,Medium,1,137.16,1,0.0,8.18
AU-2012-4970,Standard Class,Medium,1,524.4,1,104.88,42.25
AU-2012-5610,First Class,Medium,3,139.76999999999998,4,6.18,9.01
AU-2012-6590,Second Class,High,3,1226.31,8,343.74,129.20000000000002
AU-2012-7410,Standard Class,Medium,1,266.4,2,47.94,20.86
AU-2012-940,Standard Class,Medium,1,855.36,8,213.84,53.35
AU-2012-9900,First Class,Medium,2,281.4,3,54.57,42.57
AU-2013-2590,Same Day,High,5,253.8,7,82.05,38.05
AU-2013-3370,Standard Class,Medium,1,114.78,2,7.98,5.23
AU-2013-3750,Standard Class,Medium,1,8.4,1,0.06,0.7
AU-2013-6380,Standard Class,Medium,2,56.16,3,11.34,2.98
AU-2013-6980,Second Class,High,3,458.94,10,167.88,57.5
AU-2013-8150,First Class,Medium,1,97.74,2,28.32,8.42
AU-2013-9620,Standard Class,High,1,174.33,1,71.46,31.58
AU-2013-9920,Standard Class,Medium,1,74.16,6,20.7,5.65
AU-2014-1430,Second Class,Medium,4,588.9,18,168.87,37.730000000000004
AU-2014-1530,Standard Class,Medium,2,706.0799999999999,6,253.26,45.93
AU-2014-1900,Second Class,Medium,1,96.6,2,11.58,9.33
AU-2014-3670,Standard Class,Medium,1,719.88,14,64.68,15.41
AU-2014-6170,Second Class,High,1,249.18,2,107.1,39.0
AU-2014-6560,Standard Class,High,3,607.6800000000001,6,32.01,68.68
AU-2014-6650,Standard Class,Medium,2,331.55999999999995,2,90.75,14.08
AU-2014-7090,Standard Class,Medium,1,170.19,1,64.65,9.48
AU-2014-800,First Class,High,2,116.03999999999999,8,34.980000000000004,18.96
AU-2014-8900,Second Class,Medium,1,26.4,2,7.08,3.9
AU-2014-8970,Standard Class,High,3,684.3900000000001,5,276.93,76.55000000000001
AU-2014-9620,Standard Class,Medium,2,636.72,10,206.04,56.150000000000006
AU-2014-970,Standard Class,Medium,1,28.38,2,5.64,1.28
BA-2013-8930,Second Class,Medium,2,669.18,6,12.84,72.75999999999999
BK-2011-6660,Standard Class,High,1,349.2,8,108.24,48.87
BK-2012-7820,Standard Class,High,1,48.96,1,16.14,4.8
BK-2012-9590,Second Class,High,4,941.49,9,316.92,119.34
BK-2013-5970,Standard Class,Medium,2,331.08,6,72.17999999999999,29.14
BK-2014-2410,Same Day,Medium,3,356.40000000000003,4,49.89,36.8
BK-2014-2770,Standard Class,Medium,1,93.0,4,19.44,6.21
BK-2014-5210,Standard Class,Low,1,233.76,8,30.24,25.25
BK-2014-7550,Standard Class,High,4,245.37,10,47.129999999999995,24.14
BN-2011-1530,Standard Class,Medium,1,43.92,1,16.23,3.35
BN-2011-2460,Standard Class,High,2,1434.72,11,297.71999999999997,219.81
BN-2011-2620,Standard Class,High,1,11.55,1,2.76,0.71
BN-2011-4470,Standard Class,Medium,2,546.0,4,247.44,32.12
BN-2011-6760,First Class,High,1,620.64,2,43.44,95.1
BN-2012-3640,Standard Class,Medium,2,75.24000000000001,7,5.16,7.14
BN-2012-5720,First Class,Critical,1,20.19,1,6.66,4.28
BN-2012-6200,Standard Class,Medium,1,17.04,1,4.26,0.92
BN-2012-8190,Standard Class,Medium,1,27.06,2,8.34,0.42
BN-2013-2680,Standard Class,High,2,363.71999999999997,4,24.779999999999998,23.69
BN-2013-570,Second Class,Medium,1,53.7,1,0.0,3.61
BN-2013-6580,First Class,High,5,875.52,6,152.04,112.26
BN-2013-9270,Standard Class,Medium,1,30.48,1,2.73,0.38
BN-2013-9770,Second Class,High,3,70.89,4,21.36,8.98
BN-2014-1970,Standard Class,Medium,1,17.52,1,5.43,1.32
BN-2014-2740,Standard Class,High,1,26.67,1,1.05,2.95
BN-2014-4710,Second Class,Medium,2,257.22,5,31.08,13.16
BN-2014-4860,Standard Class,Medium,1,48.66,1,22.86,1.19
BN-2014-4920,Standard Class,Medium,1,6.03,1,1.86,0.44
BN-2014-5090,Second Class,Medium,1,118.8,4,49.8,9.22
BN-2014-8500,Standard Class,Medium,1,319.98,1,143.97,23.52
BN-2014-9200,Standard Class,Medium,2,1187.16,5,252.35999999999999,83.71000000000001
BN-2014-9930,Same Day,Medium,1,39.36,1,7.86,5.04
BO-2011-470,Second Class,Critical,2,55.92,3,16.439999999999998,17.490000000000002
BO-2011-6900,Standard Class,Medium,1,31.95,1,11.82,2.35
BO-2011-7760,Second Class,Medium,3,124.95,4,39.78,7.42
BO-2011-9310,Standard Class,Medium,2,106.08,3,11.82,3.92
BO-2012-2360,Standard Class,High,2,233.57999999999998,2,81.87,24.03
BO-2012-4390,Standard Class,Medium,2,267.54,3,79.44,25.58
BO-2012-5160,First Class,High,2,1799.0100000000002,13,762.09,83.13
BO-2012-5210,Standard Class,Medium,1,9.6,2,4.38,0.66
BO-2012-5950,Standard Class,Low,2,411.45,2,202.26,49.78
BO-2012-6660,Standard Class,High,1,194.34,2,71.88,30.46
BO-2012-7210,Standard Class,Medium,2,237.57,5,93.36,14.25
BO-2012-7240,Standard Class,Medium,1,33.12,2,1.98,2.46
BO-2012-7320,Standard Class,Medium,1,50.28,1,0.99,3.44
BO-2012-8820,Same Day,High,1,67.44,4,24.24,13.02
BO-2013-1280,Standard Class,High,3,335.96999999999997,13,93.78,43.46
BO-2013-1400,Standard Class,Low,1,22.92,2,5.94,3.62
BO-2013-2880,Standard Class,Medium,2,146.55,3,54.99,10.479999999999999
BO-2013-3500,Second Class,Medium,1,119.28,4,35.76,11.71
BO-2013-3590,Second Class,Critical,1,123.24,1,3.69,46.39
BO-2013-3910,Second Class,Medium,1,8.31,1,0.66,0.52
BO-2013-8060,Second Class,Critical,2,97.62,4,17.28,20.299999999999997
BO-2013-9400,Same Day,High,1,52.86,2,4.74,9.36
BO-2014-1160,Second Class,High,2,114.53999999999999,3,27.6,15.24
BO-2014-1510,Standard Class,Medium,8,645.72,19,189.69,46.74
BO-2014-170,Standard Class,Medium,3,140.22,7,43.68,11.12
BO-2014-1930,Standard Class,Low,3,335.28,6,11.7,50.65
BO-2014-2490,Standard Class,Medium,2,82.08,3,30.599999999999998,5.199999999999999
BO-2014-2640,First Class,High,1,10.32,1,4.53,3.16
BO-2014-2670,Standard Class,Medium,4,437.97,9,144.23999999999998,23.7
BO-2014-4120,Second Class,Critical,1,10.74,1,3.96,1.81
BO-2014-5570,Standard Class,Medium,1,798.84,12,351.36,66.34
BO-2014-5730,Second Class,High,1,50.73,1,16.23,5.28
BO-2014-620,Standard Class,Medium,4,792.6,8,352.77000000000004,42.65
BO-2014-6700,Standard Class,High,1,8.82,2,0.0,0.48
BO-2014-8490,Same Day,Medium,2,254.57999999999998,2,54.18,43.940000000000005
BO-2014-8690,Second Class,Medium,3,171.66,9,23.880000000000003,8.86
BO-2014-8960,Second Class,High,1,2757.78,6,744.48,446.33
BO-2014-9040,Second Class,Medium,1,18.84,1,9.21,2.34
BO-2014-9070,Standard Class,Low,1,38.76,2,18.18,2.32
BO-2014-9240,Second Class,Medium,1,756.6,2,332.88,91.85
BO-2014-9490,First Class,Medium,3,1409.22,5,549.66,144.21
BO-2014-9810,Standard Class,Medium,2,21.21,2,6.24,1.53
BU-2011-1220,Second Class,Critical,2,98.85,7,38.43,6.01
BU-2011-2880,Standard Class,Medium,1,638.91,1,229.98,30.66
BU-2011-5160,Standard Class,Low,3,298.38,4,52.83,31.6
BU-2011-5830,Standard Class,Medium,3,395.61,14,174.96,24.99
BU-2011-7450,Second Class,Medium,1,1272.6,2,279.96,123.03
BU-2012-1110,Same Day,High,1,48.45,1,12.09,3.9
BU-2012-1740,Standard Class,Medium,3,1754.4,12,378.66,48.57
BU-2012-2320,Standard Class,Medium,2,17.37,2,5.49,1.6
BU-2012-360,Standard Class,Low,1,85.5,2,18.78,16.91
BU-2012-4360,First Class,High,4,178.65,4,39.69,33.97
BU-2012-460,Standard Class,Medium,2,193.77,2,22.32,13.989999999999998
BU-2012-7140,Standard Class,Medium,2,731.91,5,273.06,47.85
BU-2012-7980,Second Class,High,2,317.15999999999997,4,122.7,43.11
BU-2012-8790,Second Class,High,2,360.41999999999996,3,147.84,65.75
BU-2012-8970,First Class,High,1,58.83,1,22.35,14.78
BU-2012-9500,Standard Class,Medium,1,56.46,1,14.1,4.02
BU-2012-9650,First Class,High,1,14.82,1,6.66,1.05
BU-2013-2680,Second Class,High,1,74.52,1,5.94,12.47
BU-2013-2690,Standard Class,High,1,45.09,1,22.53,6.39
BU-2013-2970,Standard Class,Medium,5,1151.28,15,182.43,64.67
BU-2013-3730,First Class,Critical,1,114.6,10,46.8,38.95
BU-2013-3760,Second Class,High,1,59.58,2,13.08,12.8
BU-2013-4020,Standard Class,Medium,2,456.21000000000004,9,187.98,26.19
BU-2013-4720,First Class,Medium,2,121.26,9,33.24,26.229999999999997
BU-2013-5320,First Class,Critical,2,74.34,3,33.66,17.259999999999998
BU-2013-5690,Standard Class,Medium,1,511.68,4,92.04,49.58
BU-2013-6440,First Class,Medium,3,891.99,5,423.93,180.79999999999998
BU-2013-7380,Standard Class,High,3,197.37,4,21.27,33.24
BU-2013-9100,Standard Class,Medium,1,6.12,1,0.24,0.19
BU-2013-9480,First Class,High,3,309.78,4,126.51,66.55
BU-2013-9680,Standard Class,Medium,2,79.97999999999999,2,15.06,4.66
BU-2014-2740,Same Day,Medium,1,391.86,2,90.12,11.81
BU-2014-2850,Same Day,Critical,1,99.6,2,11.94,19.59
BU-2014-290,Standard Class,Medium,2,2357.34,10,158.28,173.02
BU-2014-370,Second Class,Medium,1,70.47,1,3.51,9.49
BU-2014-7540,Standard Class,Medium,1,360.24,2,126.06,21.93
BU-2014-8530,First Class,High,2,533.1,10,235.8,74.64
BU-2014-880,Standard Class,Medium,2,330.33000000000004,5,101.4,20.049999999999997
BU-2014-9020,Second Class,High,1,84.84,2,12.72,6.7
BU-2014-9200,Standard Class,Medium,3,464.40000000000003,3,133.17,32.04
BU-2014-9730,Standard Class,High,1,249.57,1,4.98,15.98
BY-2011-3790,Standard Class,High,1,50.7,2,22.8,5.68
BY-2012-8590,Standard Class,Medium,1,217.02,2,80.28,12.83
CA-2011-100006,Standard Class,Medium,1,377.97,3,109.6113,11.76
CA-2011-100090,Standard Class,Medium,2,699.192,9,-19.089,45.05
CA-2011-100293,Standard Class,Medium,1,91.056,6,31.8696,3.22
CA-2011-100328,Standard Class,Medium,1,3.928,1,1.3257,0.36
CA-2011-100363,Standard Class,Medium,2,21.375999999999998,5,7.7192,1.71
CA-2011-100391,Standard Class,Medium,1,14.62,2,6.7252,0.31
CA-2011-100678,Standard Class,Medium,4,697.074,11,61.79370000000001,51.8
CA-2011-100706,Second Class,Medium,2,129.44,8,17.7202,10.780000000000001
CA-2011-100762,Standard Class,Medium,4,508.62,11,219.07739999999998,27.32
CA-2011-100860,Second Class,High,1,18.75,5,9.0,2.74
CA-2011-100867,Standard Class,Medium,1,321.552,6,20.097,18.73
CA-2011-100881,Standard Class,High,1,302.376,3,22.6782,60.33
CA-2011-100895,Standard Class,High,3,605.47,7,176.9272,78.44
CA-2011-100916,Standard Class,Medium,3,788.86,10,122.9662,45.21
CA-2011-100972,Second Class,Medium,1,166.44,3,79.8912,14.67
CA-2011-101147,First Class,High,1,2.394,1,-6.3441,0.23
CA-2011-101175,Standard Class,Medium,1,100.704,6,-1.2588,7.23
CA-2011-101266,Second Class,Medium,1,13.36,2,6.4128,1.39
CA-2011-101364,Standard Class,Medium,1,296.712,13,100.1403,30.75
CA-2011-101392,Standard Class,Medium,1,269.36,7,70.0336,23.68
CA-2011-101427,Standard Class,Medium,1,8.016,3,1.1022,0.58
CA-2011-101462,Standard Class,Medium,1,59.92,4,27.5632,3.94
CA-2011-101476,First Class,High,1,69.99,1,30.0957,4.72
CA-2011-101560,Second Class,Critical,4,542.34,19,110.8402,148.29
CA-2011-101602,First Class,Medium,2,803.9599999999999,8,-30.961,153.73000000000002
CA-2011-101770,Standard Class,Medium,1,1.869,1,-1.3083,0.17
CA-2011-101833,Second Class,High,1,34.44,3,17.22,3.12
CA-2011-101931,First Class,High,5,1252.602,17,18.614,132.97
CA-2011-102008,Standard Class,High,1,48.94,1,24.47,7.23
CA-2011-102085,Standard Class,Medium,1,29.24,4,13.7428,1.04
CA-2011-102274,Standard Class,Medium,4,865.5,13,323.127,45.08
CA-2011-102295,Second Class,Critical,1,120.712,1,-18.1068,18.43
CA-2011-102330,Standard Class,Medium,2,408.76800000000003,10,80.3964,31.910000000000004
CA-2011-102645,Standard Class,Medium,1,40.08,6,19.2384,4.31
CA-2011-102652,Standard Class,Medium,4,199.98999999999998,13,64.5077,11.51
CA-2011-102673,Standard Class,Medium,4,1044.44,29,127.9659,62.129999999999995
CA-2011-102869,Second Class,Medium,4,233.24399999999997,13,-26.0068,14.56
CA-2011-102988,Second Class,High,5,4251.92,22,112.2737,857.93
CA-2011-103058,First Class,Critical,1,99.98,2,7.9984,22.93
CA-2011-103086,Second Class,Critical,1,5.312,2,-1.5936,1.26
CA-2011-103100,First Class,Medium,2,1107.66,4,498.5208,64.21
CA-2011-103191,Standard Class,High,1,331.536,3,-82.884,41.66
CA-2011-103219,Standard Class,Medium,1,56.52,9,21.4776,4.43
CA-2011-103310,Standard Class,Medium,4,1769.784,14,187.6596,108.11
CA-2011-103317,First Class,High,3,242.54600000000002,10,14.4922,39.15
CA-2011-103331,Standard Class,Medium,3,31.4,8,14.1098,1.47
CA-2011-103366,First Class,Critical,1,149.95,5,65.978,45.24
CA-2011-103373,Standard Class,Medium,1,779.796,2,-168.9558,56.75
CA-2011-103401,Standard Class,Medium,1,12.96,2,6.2208,0.67
CA-2011-103429,First Class,Critical,4,765.494,14,239.3599,218.62
CA-2011-103492,Standard Class,Medium,4,1488.774,19,117.4008,83.61
