ProductID,Category,Sub-Category,NumberOfCustomers,TotalSales,TotalQuantity,TotalProfit,TotalShippingCost
FUR-BAR-10000560,Furniture,Tables,1,1003.02,2,30.06,74.59
FUR-BAR-10000831,Furniture,Tables,1,319.77,1,121.5,9.19
FUR-BAR-10000946,Furniture,Tables,2,3360.21,7,134.4,288.77
FUR-BAR-10001039,Furniture,Tables,2,212.079,2,-303.02099999999996,34.37
FUR-BAR-10002449,Furniture,Tables,3,7371.2699999999995,23,2358.42,287.62
FUR-BAR-10002710,Furniture,Tables,1,364.428,4,-546.732,24.39
FUR-BAR-10003465,Furniture,Tables,2,285.246,2,-551.514,59.03
FUR-BAR-10003532,Furniture,Tables,2,3075.81,9,-2460.8100000000004,436.01
FUR-BAR-10003576,Furniture,Tables,2,636.6,2,261.0,47.44
FUR-BAR-10004434,Furniture,Tables,1,2058.0,4,946.68,393.62
FUR-BAR-10004553,Furniture,Tables,3,568.566,3,-293.81399999999996,43.57
FUR-BAR-10004561,Furniture,Tables,1,518.4,1,67.38,61.72
FUR-BAR-10004682,Furniture,Tables,1,2011.92,4,925.44,142.47
FUR-BEV-10000326,Furniture,Tables,1,531.18,1,90.3,75.39
FUR-BEV-10000388,Furniture,Tables,1,315.75,1,129.45,28.79
FUR-BEV-10001048,Furniture,Tables,1,923.76,1,249.39,72.12
FUR-BEV-10001217,Furniture,Tables,1,1070.16,2,321.0,116.69
FUR-BEV-10001853,Furniture,Tables,1,984.18,2,344.46,36.7
FUR-BEV-10002193,Furniture,Tables,1,1248.912,6,-1779.768,18.28
FUR-BEV-10002369,Furniture,Tables,2,942.06,7,-1107.12,138.89
FUR-BEV-10002803,Furniture,Tables,1,925.23,1,305.31,89.9
FUR-BEV-10003414,Furniture,Tables,2,694.386,2,178.50600000000003,49.78
FUR-BEV-10004805,Furniture,Tables,1,1842.66,2,884.46,130.25
FUR-BEV-10004919,Furniture,Tables,2,2668.05,5,853.65,448.95
FUR-BO-10000002,Furniture,Bookcases,4,4442.639999999999,11,103.8,342.59000000000003
FUR-BO-10000008,Furniture,Bookcases,1,465.156,2,-255.864,46.63
FUR-BO-10000021,Furniture,Bookcases,1,243.06,2,102.06,33.09
FUR-BO-10000022,Furniture,Bookcases,3,2201.55,14,44.010000000000005,268.22
FUR-BO-10000034,Furniture,Bookcases,3,1450.35,5,-659.25,86.31
FUR-BO-10000035,Furniture,Bookcases,5,8308.1376,21,3288.2976,721.33
FUR-BO-10000038,Furniture,Bookcases,4,2632.824,18,-1667.736,253.75
FUR-BO-10000071,Furniture,Bookcases,8,3046.23,22,1083.3899999999999,297.37
FUR-BO-10000087,Furniture,Bookcases,10,5234.4264,34,83.50640000000001,460.59999999999997
FUR-BO-10000112,Furniture,Bookcases,6,2393.8422,24,117.43619999999999,303.84000000000003
FUR-BO-10000120,Furniture,Bookcases,2,1262.652,10,220.152,342.75
FUR-BO-10000148,Furniture,Bookcases,4,818.892,11,-228.528,47.4
FUR-BO-10000155,Furniture,Bookcases,4,1798.644,20,509.84400000000005,114.22
FUR-BO-10000160,Furniture,Bookcases,1,704.052,2,312.912,218.81
FUR-BO-10000170,Furniture,Bookcases,2,4943.106,14,-274.974,448.83
FUR-BO-10000175,Furniture,Bookcases,5,1934.334,17,440.544,223.25
FUR-BO-10000184,Furniture,Bookcases,1,157.68,3,-145.86,27.49
FUR-BO-10000195,Furniture,Bookcases,3,1179.045,12,270.405,114.83
FUR-BO-10000203,Furniture,Bookcases,6,6874.7184,19,2608.8384,618.6800000000001
FUR-BO-10000208,Furniture,Bookcases,5,3890.565,33,955.215,429.52000000000004
FUR-BO-10000210,Furniture,Bookcases,8,8797.5288,26,2158.9488,1001.55
FUR-BO-10000214,Furniture,Bookcases,1,291.792,3,-393.948,19.68
FUR-BO-10000243,Furniture,Bookcases,4,4690.7712,28,585.6912,334.99
FUR-BO-10000259,Furniture,Bookcases,6,7667.625,21,858.585,850.62
FUR-BO-10000265,Furniture,Bookcases,4,2364.8940000000002,14,697.074,216.8
FUR-BO-10000268,Furniture,Bookcases,4,1504.344,11,-269.61599999999993,152.23000000000002
FUR-BO-10000269,Furniture,Bookcases,5,893.592,13,194.19199999999998,79.47
FUR-BO-10000279,Furniture,Bookcases,5,6222.861,20,535.461,704.72
FUR-BO-10000288,Furniture,Bookcases,5,8368.664999999999,20,-131.535,1104.19
FUR-BO-10000311,Furniture,Bookcases,2,1236.06,7,274.68,225.28
FUR-BO-10000321,Furniture,Bookcases,2,893.7239999999999,10,-189.276,84.09
FUR-BO-10000330,Furniture,Bookcases,3,1064.624,10,24.196000000000005,50.11
FUR-BO-10000362,Furniture,Bookcases,5,2154.348,14,311.1836,228.79
FUR-BO-10000378,Furniture,Bookcases,4,1288.896,15,45.995999999999995,133.41
FUR-BO-10000402,Furniture,Bookcases,2,833.796,6,87.696,82.07000000000001
FUR-BO-10000411,Furniture,Bookcases,4,2820.0480000000002,24,1081.008,195.59
FUR-BO-10000425,Furniture,Bookcases,2,959.1120000000001,8,-41.20800000000001,162.5
FUR-BO-10000468,Furniture,Bookcases,6,723.842,21,-133.1092,64.88
FUR-BO-10000490,Furniture,Bookcases,4,7784.892,23,672.372,1069.31
FUR-BO-10000502,Furniture,Bookcases,6,5437.524,20,525.924,430.45000000000005
FUR-BO-10000514,Furniture,Bookcases,3,2586.6719999999996,11,-1220.538,229.47
FUR-BO-10000517,Furniture,Bookcases,1,260.352,8,-358.048,28.07
FUR-BO-10000533,Furniture,Bookcases,1,493.68,4,54.24,30.39
FUR-BO-10000567,Furniture,Bookcases,8,10638.156,43,889.196,984.07
FUR-BO-10000596,Furniture,Bookcases,6,9033.306,24,3244.506,648.52
FUR-BO-10000610,Furniture,Bookcases,4,1377.351,13,547.821,89.2
FUR-BO-10000616,Furniture,Bookcases,1,444.312,6,-89.028,22.98
FUR-BO-10000623,Furniture,Bookcases,1,311.4,2,-373.68,33.63
FUR-BO-10000624,Furniture,Bookcases,7,6301.584,26,-70.49600000000004,736.61
FUR-BO-10000636,Furniture,Bookcases,5,1688.1000000000001,18,492.9,221.88
FUR-BO-10000655,Furniture,Bookcases,1,1109.052,3,86.202,110.81
FUR-BO-10000666,Furniture,Bookcases,2,1304.64,9,182.52,234.65
FUR-BO-10000668,Furniture,Bookcases,4,3377.0814,10,110.2614,310.16
FUR-BO-10000670,Furniture,Bookcases,5,3062.556,30,947.556,221.76
FUR-BO-10000676,Furniture,Bookcases,3,1361.124,16,-554.556,239.79000000000002
FUR-BO-10000684,Furniture,Bookcases,5,2106.39,16,-85.77,220.63
FUR-BO-10000699,Furniture,Bookcases,6,3798.6372,24,238.23719999999997,446.11
FUR-BO-10000700,Furniture,Bookcases,1,232.848,2,-97.032,13.37
FUR-BO-10000711,Furniture,Bookcases,2,851.76,12,229.9752,53.739999999999995
FUR-BO-10000712,Furniture,Bookcases,1,250.68,2,112.8,16.12
FUR-BO-10000728,Furniture,Bookcases,13,10384.104,56,2095.544,837.75
FUR-BO-10000734,Furniture,Bookcases,7,1253.4,20,183.8,126.27
FUR-BO-10000746,Furniture,Bookcases,5,1322.776,17,511.19599999999997,114.67
FUR-BO-10000780,Furniture,Bookcases,5,2946.3668,22,-767.7436,254.18
FUR-BO-10000786,Furniture,Bookcases,4,3304.191,23,1123.101,187.23
FUR-BO-10000791,Furniture,Bookcases,1,483.2,5,-579.9,24.62
FUR-BO-10000797,Furniture,Bookcases,3,1072.197,7,71.337,104.45
FUR-BO-10000807,Furniture,Bookcases,1,473.04,4,-23.76,6.35
FUR-BO-10000820,Furniture,Bookcases,1,598.104,4,166.104,110.03
FUR-BO-10000847,Furniture,Bookcases,5,2006.235,19,712.335,309.58
FUR-BO-10000883,Furniture,Bookcases,2,950.6217,8,-36.2583,93.27999999999999
FUR-BO-10000889,Furniture,Bookcases,1,205.632,2,-85.728,28.96
FUR-BO-10000891,Furniture,Bookcases,4,3470.04,18,-396.72,326.41
FUR-BO-10000892,Furniture,Bookcases,1,759.06,6,15.12,206.28
FUR-BO-10000895,Furniture,Bookcases,5,1976.646,16,378.786,89.7
FUR-BO-10000936,Furniture,Bookcases,4,1866.8429999999998,11,321.783,200.45000000000002
FUR-BO-10000961,Furniture,Bookcases,5,2197.536,21,519.216,189.35
FUR-BO-10000967,Furniture,Bookcases,5,6346.476,22,970.116,535.6
FUR-BO-10000980,Furniture,Bookcases,7,5289.9264,15,1792.0764,932.25
FUR-BO-10001003,Furniture,Bookcases,2,1555.9499999999998,11,746.79,78.4
FUR-BO-10001010,Furniture,Bookcases,4,2267.538,20,498.13800000000003,275.65
FUR-BO-10001039,Furniture,Bookcases,6,5586.336,19,1137.486,560.0
FUR-BO-10001042,Furniture,Bookcases,7,1961.12,25,-61.88000000000001,145.46
FUR-BO-10001067,Furniture,Bookcases,5,1032.176,16,126.256,163.4
FUR-BO-10001073,Furniture,Bookcases,4,7246.8216,18,866.1816,961.61
FUR-BO-10001099,Furniture,Bookcases,4,975.3879999999999,15,32.788,160.18
FUR-BO-10001133,Furniture,Bookcases,5,6296.904,16,1789.224,770.3100000000001
FUR-BO-10001147,Furniture,Bookcases,6,2784.6063,19,383.7663,210.07999999999998
FUR-BO-10001155,Furniture,Bookcases,9,2900.6955000000003,24,-194.67450000000002,341.59
FUR-BO-10001165,Furniture,Bookcases,4,3448.2960000000003,14,-44.42399999999998,528.55
FUR-BO-10001192,Furniture,Bookcases,7,5575.968,18,1812.1680000000001,870.03
FUR-BO-10001196,Furniture,Bookcases,4,4786.6203000000005,17,61.98030000000003,728.87
FUR-BO-10001201,Furniture,Bookcases,6,1811.48,25,637.98,303.62
FUR-BO-10001212,Furniture,Bookcases,7,9187.9695,24,-225.3105,1108.3
FUR-BO-10001216,Furniture,Bookcases,5,3480.444,24,1043.964,422.95
FUR-BO-10001233,Furniture,Bookcases,2,753.792,9,-368.328,63.02
FUR-BO-10001254,Furniture,Bookcases,1,287.94,2,0.0,21.1
FUR-BO-10001255,Furniture,Bookcases,4,4903.194,16,-132.00600000000003,460.86
FUR-BO-10001256,Furniture,Bookcases,2,821.106,7,19.746,66.65
FUR-BO-10001271,Furniture,Bookcases,1,349.872,3,-113.748,26.25
FUR-BO-10001276,Furniture,Bookcases,2,318.816,6,-95.664,32.379999999999995
FUR-BO-10001287,Furniture,Bookcases,6,2245.173,14,779.793,288.23
FUR-BO-10001295,Furniture,Bookcases,3,1232.904,11,453.664,142.89000000000001
FUR-BO-10001309,Furniture,Bookcases,2,1235.25,3,259.38,305.42
FUR-BO-10001318,Furniture,Bookcases,1,418.464,4,-188.336,153.1
FUR-BO-10001324,Furniture,Bookcases,3,2978.136,16,564.216,332.22
FUR-BO-10001326,Furniture,Bookcases,4,1447.2,10,246.0,196.9
FUR-BO-10001337,Furniture,Bookcases,10,2970.059,28,-78.637,341.68
FUR-BO-10001342,Furniture,Bookcases,6,2345.49,17,-186.15,164.84
FUR-BO-10001356,Furniture,Bookcases,9,6342.4400000000005,28,877.96,876.73
FUR-BO-10001358,Furniture,Bookcases,3,688.176,10,-239.024,63.04
FUR-BO-10001362,Furniture,Bookcases,2,1315.8719999999998,4,-82.248,169.48
FUR-BO-10001369,Furniture,Bookcases,4,665.584,7,144.784,107.54
FUR-BO-10001370,Furniture,Bookcases,2,1140.126,3,-17.54400000000001,338.75
FUR-BO-10001372,Furniture,Bookcases,4,9097.65,21,513.9,1264.69
FUR-BO-10001385,Furniture,Bookcases,4,2053.1724,18,573.5724,96.17
FUR-BO-10001387,Furniture,Bookcases,4,2419.902,17,546.672,163.96
FUR-BO-10001390,Furniture,Bookcases,4,1096.128,12,301.248,243.57999999999998
FUR-BO-10001392,Furniture,Bookcases,4,4054.7070000000003,10,1482.2069999999999,483.89
FUR-BO-10001393,Furniture,Bookcases,6,3844.5921,25,57.84209999999999,371.5
FUR-BO-10001405,Furniture,Bookcases,8,4482.474,38,1588.014,634.7
FUR-BO-10001436,Furniture,Bookcases,2,1413.486,14,41.766000000000005,98.23
FUR-BO-10001452,Furniture,Bookcases,1,248.22,2,96.78,8.19
FUR-BO-10001461,Furniture,Bookcases,4,2122.8246,11,1040.7546,298.84
FUR-BO-10001471,Furniture,Bookcases,4,10537.89,26,4650.45,651.71
FUR-BO-10001476,Furniture,Bookcases,5,804.32,9,62.17999999999999,219.66000000000003
FUR-BO-10001483,Furniture,Bookcases,9,2403.16,39,-390.02000000000004,324.16
FUR-BO-10001498,Furniture,Bookcases,10,9725.796,40,2801.7960000000003,1014.88
FUR-BO-10001501,Furniture,Bookcases,9,11560.527,32,4042.7670000000003,799.16
FUR-BO-10001507,Furniture,Bookcases,1,484.52,2,58.12,59.01
FUR-BO-10001519,Furniture,Bookcases,5,1119.195,22,147.0942,101.07
FUR-BO-10001524,Furniture,Bookcases,1,166.48,5,-116.62,10.33
FUR-BO-10001537,Furniture,Bookcases,3,1102.6799999999998,9,44.01,89.66
FUR-BO-10001541,Furniture,Bookcases,6,2936.5236,28,-231.9564,592.98
FUR-BO-10001553,Furniture,Bookcases,4,7481.259,20,-193.941,790.8
FUR-BO-10001555,Furniture,Bookcases,3,1234.5,10,172.8,87.96
FUR-BO-10001558,Furniture,Bookcases,2,953.064,8,-258.696,149.85
FUR-BO-10001567,Furniture,Bookcases,1,90.882,3,-190.8522,5.94
FUR-BO-10001580,Furniture,Bookcases,6,3534.525,31,370.66499999999996,392.85
FUR-BO-10001585,Furniture,Bookcases,9,2658.092,25,486.332,196.06
FUR-BO-10001596,Furniture,Bookcases,4,3600.544,21,-588.956,189.47
FUR-BO-10001598,Furniture,Bookcases,6,2919.1686,24,1264.6086,279.95
FUR-BO-10001601,Furniture,Bookcases,3,935.1972,10,-125.74080000000001,117.39
FUR-BO-10001608,Furniture,Bookcases,5,1570.0776,30,-26.972399999999993,151.16
FUR-BO-10001619,Furniture,Bookcases,2,424.90000000000003,6,27.193599999999996,31.22
FUR-BO-10001621,Furniture,Bookcases,6,2021.5349999999999,18,757.395,213.13
FUR-BO-10001641,Furniture,Bookcases,5,2140.5141,15,742.3641,209.14
FUR-BO-10001646,Furniture,Bookcases,13,6175.464,43,1155.884,462.4
FUR-BO-10001668,Furniture,Bookcases,8,4742.0778,31,-368.2722,284.13
FUR-BO-10001679,Furniture,Bookcases,4,1170.8568,11,262.0368,153.0
FUR-BO-10001699,Furniture,Bookcases,1,77.312,2,-61.888,6.96
FUR-BO-10001708,Furniture,Bookcases,7,3590.55,28,196.95000000000005,327.26
FUR-BO-10001714,Furniture,Bookcases,2,979.659,9,-149.75100000000003,123.65
FUR-BO-10001721,Furniture,Bookcases,4,775.928,10,303.528,67.29
FUR-BO-10001739,Furniture,Bookcases,6,5234.879999999999,21,490.14000000000004,612.9
FUR-BO-10001746,Furniture,Bookcases,1,171.36,2,-17.16,7.52
FUR-BO-10001749,Furniture,Bookcases,7,10110.66,27,-363.45,1113.09
FUR-BO-10001753,Furniture,Bookcases,9,3371.2425,34,1066.0425,293.02
FUR-BO-10001779,Furniture,Bookcases,7,2806.16,28,1150.24,374.4
FUR-BO-10001781,Furniture,Bookcases,8,5343.36,30,-48.83999999999999,472.98
FUR-BO-10001798,Furniture,Bookcases,4,1263.9569999999999,12,-56.3214,211.42000000000002
FUR-BO-10001811,Furniture,Bookcases,8,5492.885,26,15.049000000000007,545.53
FUR-BO-10001822,Furniture,Bookcases,5,6368.736,20,-651.864,670.64
FUR-BO-10001831,Furniture,Bookcases,4,2270.268,12,500.50800000000004,201.55
FUR-BO-10001834,Furniture,Bookcases,4,1898.976,14,356.31600000000003,126.1
FUR-BO-10001835,Furniture,Bookcases,1,779.58,2,202.68,85.48
FUR-BO-10001860,Furniture,Bookcases,5,2455.491,20,569.691,187.93
FUR-BO-10001867,Furniture,Bookcases,7,1528.304,21,254.864,141.75
FUR-BO-10001872,Furniture,Bookcases,1,449.496,6,-30.024,57.05
FUR-BO-10001873,Furniture,Bookcases,2,674.154,6,-311.166,64.29
FUR-BO-10001874,Furniture,Bookcases,8,4043.2799999999997,29,507.6,385.01
FUR-BO-10001875,Furniture,Bookcases,2,1834.1999999999998,5,788.7,114.5
FUR-BO-10001876,Furniture,Bookcases,1,814.374,6,217.134,86.83
FUR-BO-10001888,Furniture,Bookcases,3,768.15,5,204.75,68.78
FUR-BO-10001892,Furniture,Bookcases,4,3578.616,11,-357.95399999999995,189.71
FUR-BO-10001918,Furniture,Bookcases,3,1014.174,10,-418.548,55.730000000000004
FUR-BO-10001934,Furniture,Bookcases,14,17094.0222,52,-309.3378,2157.38
FUR-BO-10001943,Furniture,Bookcases,3,4209.732,12,-327.708,478.04999999999995
FUR-BO-10001946,Furniture,Bookcases,8,3012.672,31,-386.788,518.84
FUR-BO-10001966,Furniture,Bookcases,3,686.1120000000001,9,9.671999999999997,74.8
FUR-BO-10001967,Furniture,Bookcases,3,1337.424,10,-15.276,71.74
FUR-BO-10001969,Furniture,Bookcases,4,1545.876,19,-561.224,133.17000000000002
FUR-BO-10001972,Furniture,Bookcases,7,2740.197,37,-975.0988,253.97
FUR-BO-10002000,Furniture,Bookcases,5,7044.0273,18,752.4873,445.06
FUR-BO-10002003,Furniture,Bookcases,5,7838.1,26,-1785.54,857.72
FUR-BO-10002008,Furniture,Bookcases,3,327.92,5,-12.379999999999999,66.66
FUR-BO-10002031,Furniture,Bookcases,6,7369.179,20,546.579,609.7099999999999
FUR-BO-10002032,Furniture,Bookcases,4,1747.413,15,334.413,200.77
FUR-BO-10002042,Furniture,Bookcases,1,219.808,2,-219.832,31.23
FUR-BO-10002084,Furniture,Bookcases,5,2943.128,17,-50.912000000000006,436.82
FUR-BO-10002109,Furniture,Bookcases,3,909.0,13,-49.620000000000005,111.9
FUR-BO-10002133,Furniture,Bookcases,3,948.8249999999999,8,361.78499999999997,124.59
FUR-BO-10002142,Furniture,Bookcases,2,933.3,5,-219.6,98.75
FUR-BO-10002182,Furniture,Bookcases,7,4120.272,24,78.91199999999999,318.09
FUR-BO-10002202,Furniture,Bookcases,2,400.0268,3,-113.2606,41.54
FUR-BO-10002204,Furniture,Bookcases,8,7342.8615,38,2204.1615,679.3
FUR-BO-10002206,Furniture,Bookcases,1,119.833,1,-12.6882,13.47
FUR-BO-10002213,Furniture,Bookcases,10,12921.643,42,19.686400000000006,1207.85
FUR-BO-10002214,Furniture,Bookcases,8,2709.6,33,-979.14,460.24
FUR-BO-10002235,Furniture,Bookcases,5,1196.352,14,331.712,166.63
FUR-BO-10002250,Furniture,Bookcases,4,1374.96,12,659.76,162.74
FUR-BO-10002268,Furniture,Bookcases,3,754.7336,16,-294.7672,36.95
FUR-BO-10002277,Furniture,Bookcases,4,2662.4628000000002,16,20.542800000000003,577.77
FUR-BO-10002285,Furniture,Bookcases,2,1048.1295,8,34.6095,92.14
FUR-BO-10002289,Furniture,Bookcases,2,622.05,5,149.25,114.07999999999998
FUR-BO-10002300,Furniture,Bookcases,10,9069.312,40,3428.732,945.01
FUR-BO-10002308,Furniture,Bookcases,6,4524.372,24,757.332,386.95
FUR-BO-10002309,Furniture,Bookcases,2,320.62,4,-30.18,24.89
FUR-BO-10002318,Furniture,Bookcases,4,3843.504,10,454.404,384.53000000000003
FUR-BO-10002324,Furniture,Bookcases,4,1772.1680000000001,19,523.488,165.97
FUR-BO-10002325,Furniture,Bookcases,4,2527.792,12,-110.048,258.48
FUR-BO-10002334,Furniture,Bookcases,2,402.61199999999997,5,-23.987999999999996,63.78
FUR-BO-10002346,Furniture,Bookcases,7,2123.772,31,339.41200000000003,179.87
FUR-BO-10002352,Furniture,Bookcases,7,2300.032,27,420.832,230.53
FUR-BO-10002378,Furniture,Bookcases,5,1089.704,13,-21.796000000000006,120.16
FUR-BO-10002383,Furniture,Bookcases,11,4780.692,48,579.732,467.22
FUR-BO-10002387,Furniture,Bookcases,3,4986.2925,14,190.73250000000002,409.74
FUR-BO-10002390,Furniture,Bookcases,7,5410.0935,17,-203.47650000000002,505.95
FUR-BO-10002423,Furniture,Bookcases,4,1048.1076,7,57.747600000000006,78.66
FUR-BO-10002444,Furniture,Bookcases,3,4022.4465,11,1146.8265000000001,503.26
FUR-BO-10002462,Furniture,Bookcases,4,4816.746,12,-41.45400000000001,526.92
FUR-BO-10002471,Furniture,Bookcases,5,1570.8,15,22.200000000000003,103.55
FUR-BO-10002510,Furniture,Bookcases,12,5489.3214,38,439.66139999999996,598.85
FUR-BO-10002529,Furniture,Bookcases,1,2452.275,7,190.575,155.69
FUR-BO-10002545,Furniture,Bookcases,8,7539.7122,35,780.3302,1009.83
FUR-BO-10002574,Furniture,Bookcases,1,132.256,4,-119.104,16.72
FUR-BO-10002580,Furniture,Bookcases,3,3516.0,14,-503.96000000000004,421.51
FUR-BO-10002592,Furniture,Bookcases,1,197.92,5,-183.08,16.28
FUR-BO-10002598,Furniture,Bookcases,5,1320.228,19,362.70779999999996,96.92
FUR-BO-10002613,Furniture,Bookcases,6,5184.081,27,-126.44100000000005,743.43
FUR-BO-10002632,Furniture,Bookcases,6,4400.04,31,713.52,493.84
FUR-BO-10002679,Furniture,Bookcases,8,2885.64,36,843.72,349.12
FUR-BO-10002680,Furniture,Bookcases,2,833.4,6,43.2,111.63
FUR-BO-10002682,Furniture,Bookcases,2,998.1659999999999,7,80.256,68.41
FUR-BO-10002708,Furniture,Bookcases,4,5056.125,18,-771.5550000000001,1013.75
FUR-BO-10002736,Furniture,Bookcases,5,3310.791,25,227.541,507.40999999999997
FUR-BO-10002738,Furniture,Bookcases,4,743.1072,7,-274.3428,111.4
FUR-BO-10002740,Furniture,Bookcases,4,3947.616,18,641.376,285.24
FUR-BO-10002766,Furniture,Bookcases,7,6933.023999999999,28,-462.336,590.17
FUR-BO-10002781,Furniture,Bookcases,4,3444.0660000000003,23,624.0360000000001,283.55
FUR-BO-10002782,Furniture,Bookcases,6,1813.448,23,552.588,218.9
FUR-BO-10002793,Furniture,Bookcases,2,1810.008,10,826.308,162.97
FUR-BO-10002812,Furniture,Bookcases,6,3612.645,23,636.675,480.92
FUR-BO-10002819,Furniture,Bookcases,7,2865.9204,25,689.4204,450.47
FUR-BO-10002824,Furniture,Bookcases,3,748.8607999999999,6,24.156800000000004,61.0
FUR-BO-10002852,Furniture,Bookcases,1,252.06,2,12.6,13.6
FUR-BO-10002853,Furniture,Bookcases,4,540.804,9,-12.290999999999999,50.73
FUR-BO-10002866,Furniture,Bookcases,1,1582.2,6,-870.3,357.21
FUR-BO-10002889,Furniture,Bookcases,2,1340.388,12,536.148,126.57000000000001
FUR-BO-10002892,Furniture,Bookcases,5,8548.998,24,1991.238,525.77
FUR-BO-10002906,Furniture,Bookcases,3,754.768,11,-48.452,181.35
FUR-BO-10002916,Furniture,Bookcases,4,2487.759,15,410.352,183.98
FUR-BO-10002926,Furniture,Bookcases,2,741.06,6,81.36,110.52000000000001
FUR-BO-10002936,Furniture,Bookcases,5,1388.016,12,644.256,150.59
FUR-BO-10002964,Furniture,Bookcases,3,1928.91,15,-324.69,131.89
FUR-BO-10002968,Furniture,Bookcases,4,1455.12,7,29.080000000000005,124.58
FUR-BO-10002975,Furniture,Bookcases,5,984.54,16,3.1000000000000085,57.47
FUR-BO-10002981,Furniture,Bookcases,8,2386.568,27,67.768,241.65
FUR-BO-10002985,Furniture,Bookcases,3,1438.272,17,368.292,87.55
FUR-BO-10002990,Furniture,Bookcases,6,9197.712,27,3913.272,1002.02
FUR-BO-10002992,Furniture,Bookcases,6,4348.8,21,-116.21999999999997,584.0
FUR-BO-10003007,Furniture,Bookcases,6,2806.92,24,551.16,369.63
FUR-BO-10003022,Furniture,Bookcases,3,1550.01,11,542.19,110.66
FUR-BO-10003028,Furniture,Bookcases,6,3384.0,24,987.84,410.58
FUR-BO-10003029,Furniture,Bookcases,3,3345.2469,9,100.6569,273.5
FUR-BO-10003034,Furniture,Bookcases,11,3828.64,40,-20.89759999999999,438.82
FUR-BO-10003043,Furniture,Bookcases,3,633.4680000000001,7,68.988,48.99
FUR-BO-10003046,Furniture,Bookcases,6,6120.036,18,1176.8760000000002,638.88
FUR-BO-10003078,Furniture,Bookcases,2,269.028,3,-8.982000000000001,19.62
FUR-BO-10003086,Furniture,Bookcases,3,2175.0282,6,444.32820000000004,248.5
FUR-BO-10003103,Furniture,Bookcases,12,11612.188,40,-25.041999999999874,1473.28
FUR-BO-10003106,Furniture,Bookcases,7,2935.2,34,240.36,357.71999999999997
FUR-BO-10003112,Furniture,Bookcases,2,778.3199999999999,6,303.48,31.43
FUR-BO-10003126,Furniture,Bookcases,4,4348.8,13,155.51999999999998,489.14
FUR-BO-10003159,Furniture,Bookcases,12,3630.9778,43,29.693600000000004,392.58
FUR-BO-10003174,Furniture,Bookcases,1,182.08,4,-186.64,17.21
FUR-BO-10003181,Furniture,Bookcases,1,89.352,1,-59.568,5.17
FUR-BO-10003185,Furniture,Bookcases,3,1358.4,8,13.44,129.41
FUR-BO-10003199,Furniture,Bookcases,4,3044.8,14,642.12,156.95000000000002
FUR-BO-10003206,Furniture,Bookcases,5,3644.298,20,117.49800000000002,260.9
FUR-BO-10003221,Furniture,Bookcases,6,1823.76,21,14.820000000000007,161.49
FUR-BO-10003272,Furniture,Bookcases,6,3420.7704,21,-755.7515999999999,345.39
FUR-BO-10003282,Furniture,Bookcases,3,8078.264999999999,20,2443.665,1041.55
FUR-BO-10003284,Furniture,Bookcases,4,1156.32,12,-57.84,85.78
FUR-BO-10003287,Furniture,Bookcases,3,1155.596,15,142.19600000000003,63.99
FUR-BO-10003291,Furniture,Bookcases,7,1328.728,23,24.167999999999996,152.62
FUR-BO-10003297,Furniture,Bookcases,8,2365.0,28,-151.64,276.87
